R,G,B,class
155.2701126939353,234.1465741565344,248.6433490953309,lemon
156.06314952806756,212.76641828117238,236.24983606557376,lemon
184.4271012345679,229.52857283950618,245.1534024691358,lemon
169.45627391581633,235.74158960459184,251.2676777742347,lemon
168.22522469135802,226.41436049382716,241.0494024691358,lemon
192.3597247488729,231.5743296685913,245.9088032903583,lemon
131.45990706541164,230.16974462846022,240.75771476230193,lemon
105.35812393315072,208.032154340836,237.78583621134533,lemon
105.98680221152131,204.40241364960465,222.95249985137625,lemon
131.264612345679,210.3206913580247,230.39537777777778,lemon
53.98293541666666,168.22884027777778,211.54073125,lemon
14.355434173669467,102.93752100840337,132.5859943977591,lemon
29.055630165289255,96.0725464876033,58.70599173553719,watermelon
91.82216351338104,128.55235173022254,122.9239564748554,watermelon
119.84979932926494,130.72152583063024,144.61706251030841,watermelon
78.28454320987655,101.29453827160494,175.1193086419753,watermelon
163.81088922006955,178.8676005961252,213.46525583705912,watermelon
93.05474655844672,143.49683695392696,118.4524349486751,watermelon
44.708414600167174,104.2880627313617,106.67300879672014,watermelon
95.4082363977486,142.2286515009381,108.71273217636022,watermelon
121.13540740740741,150.1631746031746,147.63291005291006,watermelon
163.51669048186076,190.61286417400967,198.80499325236167,watermelon
42.28751963556393,78.80749293119699,122.41765368101372,watermelon
78.24664,101.234608,175.160976,watermelon
